               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12192,             0.01112,            0.042824,          8.6734e-05,           0.0040984,          1.1492e-05,          3.1065e-06,            0.034013,           0.0066023,            0.012246,             0.00036,             0.00036,             0.09676
                   1,             0.11341,            0.010771,            0.038381,            0.001268,            0.014408,          0.00011579,          2.4468e-05,            0.030359,           0.0054722,             0.01085,           0.0007284,           0.0007284,            0.093428
                   2,             0.10264,            0.011373,            0.035266,           0.0075139,            0.028351,           0.0016625,          0.00025048,            0.027649,           0.0050345,            0.010314,           0.0010904,           0.0010904,             0.09009
                   3,            0.084641,            0.013377,             0.03316,            0.022079,            0.097347,           0.0099733,           0.0025332,            0.022837,           0.0048408,            0.010286,           0.0014412,           0.0014412,            0.086741
                   4,            0.074661,            0.013498,            0.030969,             0.53287,             0.09629,            0.013345,           0.0029564,            0.020915,           0.0047916,           0.0099538,           0.0017764,           0.0017764,            0.083376
                   5,             0.06882,            0.012633,            0.030419,              0.5323,             0.11325,            0.018634,           0.0063646,            0.019256,            0.004568,           0.0093513,           0.0020916,           0.0020916,            0.079992
                   6,            0.063617,            0.011239,            0.028495,             0.52652,              0.1298,            0.022552,           0.0093942,            0.017156,           0.0047541,           0.0089751,           0.0023829,           0.0023829,            0.076583
                   7,            0.059191,            0.010904,             0.02805,            0.061378,             0.20197,            0.033794,            0.013039,            0.016299,           0.0040607,           0.0084928,           0.0026469,           0.0026469,            0.073147
                   8,              0.0597,            0.010452,            0.025925,             0.31521,              0.2038,            0.049319,            0.014211,            0.015039,           0.0045416,            0.008015,           0.0028806,           0.0028806,            0.069681
                   9,            0.055867,            0.010129,            0.022902,              0.3168,             0.32909,            0.056594,            0.022297,            0.015032,           0.0044955,           0.0073225,           0.0030816,           0.0030816,            0.066182
                  10,            0.055189,            0.010001,            0.023672,             0.12546,             0.34593,            0.086149,            0.040916,            0.013796,            0.004538,           0.0067757,            0.003248,            0.003248,            0.062648
                  11,            0.055638,           0.0094958,            0.021373,             0.13719,             0.34833,            0.089529,            0.041181,            0.015112,           0.0045806,           0.0063923,           0.0033787,           0.0033787,            0.059079
                  12,            0.054584,           0.0087847,            0.018503,            0.089326,             0.42699,            0.086897,            0.036238,            0.013126,           0.0043645,           0.0056616,           0.0034733,           0.0034733,            0.055473
                  13,            0.056088,           0.0087671,             0.01771,            0.088616,             0.35932,            0.076135,            0.035782,            0.013078,           0.0040111,           0.0053352,            0.003532,            0.003532,            0.051832
                  14,            0.052636,           0.0084258,            0.016683,            0.088344,             0.42899,            0.084979,             0.04311,            0.014083,           0.0043938,           0.0052462,           0.0035556,           0.0035556,            0.048156
                  15,            0.053741,           0.0083172,            0.015714,            0.096144,             0.49165,            0.095941,            0.039171,            0.014479,           0.0038972,           0.0048479,            0.003546,            0.003546,            0.044446
                  16,            0.050493,           0.0082808,             0.01577,             0.11097,              0.5457,             0.11141,            0.055124,            0.012231,           0.0044722,           0.0050587,           0.0035054,           0.0035054,            0.040705
                  17,            0.047186,           0.0084733,            0.013615,             0.11834,             0.57343,             0.11916,            0.065431,            0.012303,           0.0049246,            0.004319,            0.003437,            0.003437,            0.036937
                  18,             0.04869,           0.0081251,            0.013365,             0.13015,             0.47108,               0.109,            0.056303,            0.013052,           0.0041833,           0.0041984,           0.0033443,           0.0033443,            0.033144
                  19,            0.048709,            0.007958,            0.011705,             0.14986,             0.41705,             0.11933,            0.052276,             0.01398,           0.0044473,           0.0039617,           0.0032317,           0.0032317,            0.029332
                  20,            0.047609,           0.0078257,            0.012667,             0.15202,             0.54992,             0.13266,            0.067931,            0.012063,           0.0044224,           0.0037242,            0.003104,            0.003104,            0.025504
                  21,            0.042917,             0.00789,            0.010349,             0.15428,              0.6111,              0.1505,            0.074667,            0.012215,           0.0052776,           0.0033539,           0.0029665,           0.0029665,            0.021667
                  22,            0.046693,           0.0073377,            0.010953,             0.14631,             0.56959,             0.14258,            0.067784,            0.012013,           0.0037813,           0.0037966,            0.002825,            0.002825,            0.017825
                  23,            0.044625,           0.0077472,            0.012746,             0.15403,             0.58447,             0.13301,            0.068172,            0.011448,           0.0041158,           0.0035653,           0.0026853,           0.0026853,            0.013985
                  24,            0.043312,           0.0073989,           0.0090224,             0.15866,             0.59335,             0.14162,            0.088191,            0.011152,           0.0043676,           0.0029397,           0.0025539,           0.0025539,            0.010154
                  25,            0.042191,           0.0074215,           0.0092686,             0.15997,             0.56882,             0.14258,            0.083327,             0.01071,           0.0046817,           0.0031036,            0.002437,            0.002437,            0.006337
                  26,            0.039535,           0.0073417,            0.010199,             0.15277,             0.56344,             0.14383,             0.08441,           0.0096799,           0.0058154,           0.0030225,           0.0023411,           0.0023411,           0.0025411
                  27,            0.040765,           0.0073992,           0.0084064,             0.15334,             0.58857,             0.14466,            0.091159,           0.0092926,           0.0050549,           0.0028931,           0.0021958,           0.0021958,           0.0021958
                  28,             0.03945,           0.0068453,           0.0081851,             0.15199,             0.57371,             0.14474,            0.086952,            0.010044,           0.0050903,           0.0029897,           0.0021958,           0.0021958,           0.0021958
                  29,            0.036411,           0.0069906,           0.0079894,             0.15999,             0.56624,             0.14568,            0.093335,           0.0091351,           0.0054163,           0.0025201,           0.0020874,           0.0020874,           0.0020874
